trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
438,False,"{'a': 0.25, 'e': 0.012252232620860809}",25,14,22.570090973186364,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,False,"{'a': 0.25, 'e': 0.012129710294652202}",25,15,18.92883607602522,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,False,"{'a': 0.25, 'e': 0.01200841319170568}",25,17,15.692223833892418,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
441,False,"{'a': 0.25, 'e': 0.011888329059788622}",35,27,15.841802609813529,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.25, 'e': 0.011769445769190735}",25,9,31.577659434726236,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.25, 'e': 0.011651751311498829}",25,11,25.67001352078999,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
444,False,"{'a': 0.25, 'e': 0.01153523379838384}",30,20,21.621797648137004,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,False,"{'a': 0.25, 'e': 0.011419881460400001}",20,14,10.104659891616244,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,False,"{'a': 0.25, 'e': 0.011305682645796001}",30,18,19.8370014716055,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
447,False,"{'a': 0.25, 'e': 0.011192625819338041}",20,12,17.03008878686591,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,False,"{'a': 0.25, 'e': 0.011080699561144661}",20,15,10.789531199752943,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
449,False,"{'a': 0.25, 'e': 0.010969892565533214}",20,5,14.239522473155722,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
450,False,"{'a': 0.25, 'e': 0.010860193639877882}",20,12,16.67353951417188,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.25, 'e': 0.010751591703479103}",25,17,14.060776841381816,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
452,False,"{'a': 0.25, 'e': 0.010644075786444312}",30,20,16.205450398453575,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
453,False,"{'a': 0.25, 'e': 0.01053763502857987}",20,16,8.782689965729691,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
454,False,"{'a': 0.25, 'e': 0.01043225867829407}",20,9,18.76175927854692,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,False,"{'a': 0.25, 'e': 0.01032793609151113}",20,12,17.994555919255088,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
456,False,"{'a': 0.25, 'e': 0.010224656730596018}",20,2,16.738149282051474,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
457,False,"{'a': 0.25, 'e': 0.010122410163290057}",25,13,20.795895452018254,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
458,False,"{'a': 0.25, 'e': 0.010021186061657156}",20,5,26.618420920053666,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
459,False,"{'a': 0.25, 'e': 0.009920974201040586}",20,8,24.933397369508935,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
460,False,"{'a': 0.25, 'e': 0.009821764459030179}",30,20,20.306383016830473,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
461,False,"{'a': 0.25, 'e': 0.009723546814439878}",20,10,18.641273097157985,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
462,False,"{'a': 0.25, 'e': 0.009626311346295479}",20,9,22.727339099320293,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
463,False,"{'a': 0.25, 'e': 0.009530048232832523}",25,16,15.79681533874147,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
464,False,"{'a': 0.25, 'e': 0.009434747750504199}",20,11,15.460553435302648,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
